Item Count,item name,Unit price $,Total Price,Price with coupons,Link,Running total $,Running total with coupons,Notes
1,RP Pico,5,5,5,https://www.adafruit.com/product/5525,5.3,5.3,
2,MCP23017-E/SP,1.69,3.38,3.38,https://www.digikey.com/en/products/detail/microchip-technology/mcp23017-e-sp/894272,8.88,8.88,
1,DUROCK MX Hotswap PCB Socket ,12.99,12.99,12.99,https://www.amazon.com/DUROCK-Mechanical-Keyboard-Switches-Hot-Swap/dp/B0B4W9YMGM,22.65,22.65,comes in packs of 108
110,1N4148-t50A diode,0.0307,3.377,3.377,https://www.lcsc.com/product-detail/C895215.html,26.23,26.23,packs of 10
3,4.7kΩ Resister,0.01,0.03,0.03,https://www.lcsc.com/product-detail/C172560.html,26.26,26.26,
108,keycaps,0,0,0,https://www.printables.com/model/118708-simple-cherry-mx-keycap,26.26,26.26,1g each can print myself
1,Gateron G Pro 3.0 Blue Switches,32.99,32.99,32.99,https://www.amazon.com/Switches-Mechanical-Keyboard-Pre-Lubed-Pin-Enhanced/dp/B0CJ8SGL6B,61.23,61.23,packs of 36
2,rotary encoder,2.0017,4.0034,4.0034,https://www.lcsc.com/product-detail/C470754.html?s_z=n_EC11,65.47,65.47,
1,screw in stablizers,25.99,25.99,25.99,https://www.amazon.com/DUROCK-Stabilizer-Stabilizers-Mechanical-Keyboards/dp/B0CN38CXQ3,93.02,93.02,comes in packs of 108
110,SK6812MINI-E,0.0683,7.513,7.513,https://www.lcsc.com/product-detail/C5149201.html,100.98,100.98,packs of 5
