"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW52,SW47,SW20,SW66,SW64,SW8,SW73,SW106,SW76,SW28,SW31,SW19,SW25,SW54,SW12,SW1,SW11,SW57,SW37,SW18,SW49,SW78,SW27,SW29,SW89,SW70,SW71,SW104,SW80,SW93,SW2,SW77,SW3,SW92,SW14,SW83,SW86,SW10,SW105,SW85,SW30,SW36,SW108,SW7,SW59,SW39,SW48,SW50,SW9,SW44,SW56,SW38,SW74,SW35,SW72,SW22,SW6,SW21,SW58,SW69,SW5,SW87,SW23,SW17,SW60,SW41,SW43,SW53,SW33,SW88,SW26,SW40,SW82,SW51,SW45,SW46,SW67,SW32,SW13,SW15,SW61,SW84,SW91,SW81,SW16,SW68,SW94,SW4,SW24,SW65";"SW_Hotswap_Kailh_MX_1.00u";90;"SW_Push";;;
2;"D106,D42,D38,D40,D56,D88,D55,D98,D97,D67,D74,D96,D82,D86,D41,D91,D26,D39,D83,D11,D22,D15,D5,D51,D58,D28,D107,D19,D8,D70,D72,D33,D37,D44,D13,D73,D85,D48,D79,D29,D46,D75,D30,D90,D87,D69,D9,D12,D4,D20,D25,D108,D84,D1,D62,D101,D7,D50,D99,D36,D95,D105,D100,D92,D2,D31,D66,D93,D43,D103,D104,D17,D32,D65,D54,D14,D16,D34,D23,D3,D77,D102,D71,D27,D35,D6,D24,D45,D18,D61,D64,D81,D68,D63,D47,D89,D21,D53,D78,D59,D49,D76,D57,D10,D80,D60,D94,D52";"D_DO-35_SOD27_P7.62mm_Horizontal";108;"D";;;
3;"J1";"SSD1306-0.91-OLED-4pin-128x32";1;"Conn_01x04_Pin";;;
4;"SW98,SW97,SW101,SW96,SW100,SW102,SW103";"SW_Hotswap_Kailh_MX_1.25u";7;"SW_Push";;;
5;"REF**,REF**";"SW_Cherry_MX_2.00u_Vertical_PCB-stab";2;"SW_Cherry_MX_2.00u_Vertical_PCB-stab";;;
6;"REF**,REF**";"SW_Cherry_MX_2.25u_PCB-stab";2;"SW_Cherry_MX_2.25u_PCB-stab";;;
7;"REF**";"SW_Cherry_MX_6.25u_PCB-stab";1;"SW_Cherry_MX_6.25u_PCB-stab";;;
8;"SW62,SW95";"SW_Hotswap_Kailh_MX_2.00u_90deg";2;"SW_Push";;;
9;"SW107,SW34";"SW_Hotswap_Kailh_MX_2.00u";2;"SW_Push";;;
10;"SW90";"SW_Hotswap_Kailh_MX_2.75u";1;"SW_Push";;;
11;"SW109,SW110";"SW-TH_EC11XXXXXXXX";2;"RotaryEncoder_Switch";;;
12;"SW42,SW55";"SW_Hotswap_Kailh_MX_1.50u";2;"SW_Push";;;
13;"REF**";"SW_Cherry_MX_2.75u_PCB-stab";1;"SW_Cherry_MX_2.75u_PCB-stab";;;
14;"REF**,REF**";"SW_Cherry_MX_2.00u_PCB_stabs";2;"SW_Cherry_MX_2.00u_PCB_stabs";;;
15;"C1,C2";"CAP-TH_L5.1-W3.2-P5.08-D0.50";2;"0.1µF";;;
16;"U1";"DIP-28_W7.62mm";1;"MCP23017-E_SP";;;
17;"SW63";"SW_Hotswap_Kailh_MX_1.75u";1;"SW_Push";;;
18;"SW75,SW79";"SW_Hotswap_Kailh_MX_2.25u";2;"SW_Push";;;
19;"A1";"RaspberryPi_Pico_Common_THT";1;"RaspberryPi_Pico";;;
20;"R3";"RES-TH_BD2.5-L4.7-P8.70-D0.5";1;"4.7k";;;
21;"SW99";"SW_Hotswap_Kailh_MX_6.25u";1;"SW_Push";;;
